2024-04-21T03:20:22.859+1000 INFO tgc.plus.callservice.MailServiceApplication Starting MailServiceApplication using Java 17.0.8 with PID 25511 (/home/makar/IdeaProjects/TigerHost/TigerHostApi/MailService/build/classes/java/main started by makar in /home/makar/IdeaProjects/TigerHost/TigerHostApi)
2024-04-21T07:17:23.753+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:17:23.762+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:17:23.772+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:17:23.783+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:17:23.792+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:17:23.799+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:17:23.811+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.448+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.456+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.463+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.475+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.483+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.494+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.502+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.513+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.520+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:18:18.529+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:35:30.076+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:36:47.183+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:38:48.208+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:39:49.270+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:40:35.428+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
